scenario,algorithm,run,num_uavs,num_waypoints,best_cost,path_length,collision_count,collision_penetration,separation_violation,separation_deficit,smoothness,energy_proxy,success,execution_time
S2,ABC,2,1,3,102.1756392992791,100.66538437204161,0,0.0,0,0.0,0.7551274636187447,100.77865349158442,1,3.1226613521575928
S2,ABC,3,1,3,102.5867726860879,101.19033243625768,0,0.0,0,0.0,0.6982201249151119,101.29506545499494,1,4.328177213668823
S2,ABC,4,1,3,103.06091906092551,101.69046363312013,0,0.0,0,0.0,0.6852277139026904,101.79324779020554,1,3.150489330291748
S2,ABC,5,1,3,104.44657372318294,102.82828480961359,0,0.0,0,0.0,0.8091444567846717,102.94965647813129,1,3.116379499435425
S2,ABC,6,1,3,102.94533936952853,101.23049916241837,0,0.0,0,0.0,0.8574201035550819,101.35911217795163,1,3.4221978187561035
S2,ABC,7,1,3,103.05178932250435,101.82611739800183,0,0.0,0,0.0,0.612835962251262,101.91804279233952,1,4.002080917358398
S2,ABC,8,1,3,102.81804492732914,101.6036770641389,0,0.0,0,0.0,0.6071839315951163,101.69475465387818,1,3.1110031604766846
S2,ABC,9,1,3,103.31329422967869,102.1164518720779,0,0.0,0,0.0,0.5984211788003965,102.20621504889796,1,3.141589879989624
S2,ABC,10,1,3,104.49771452951089,102.17505436959668,0,0.0,0,0.0,1.1613300799571027,102.34925388159024,1,4.102328062057495
S2,ABC,11,1,3,105.80207134638188,102.90425767053495,0,0.0,0,0.0,1.4489068379234689,103.12159369622347,1,3.358660936355591
S2,ABC,12,1,3,104.86837336406325,102.59063429100212,0,0.0,0,0.0,1.1388695365305628,102.7614647214817,1,3.111262798309326
S2,ABC,13,1,3,104.24963250445796,102.66840475421212,0,0.0,0,0.0,0.7906138751229229,102.78699683548055,1,3.1025679111480713
S2,ABC,14,1,3,103.33650368729526,101.81388501018479,0,0.0,0,0.0,0.7613093385552369,101.92808141096808,1,4.293232679367065
S2,ABC,15,1,3,105.94106946606095,104.24423956967954,0,0.0,0,0.0,0.8484149481907087,104.37150181190815,1,3.089216709136963
S2,ABC,16,1,3,103.53064967250843,102.07896765842483,0,0.0,0,0.0,0.7258410070417981,102.1878438094811,1,3.0941765308380127
S2,ABC,17,1,3,104.26942636706447,101.66015438098655,0,0.0,0,0.0,1.3046359930389595,101.8558497799424,1,3.2110090255737305
S2,ABC,18,1,3,105.39490910388801,103.32997386824172,0,0.0,0,0.0,1.032467617823142,103.4848440109152,1,4.143719434738159
S2,ABC,19,1,3,103.56267023102734,101.59076733232239,0,0.0,0,0.0,0.9859514493524764,101.73866004972525,1,3.10009765625
S2,ABC,20,1,3,102.93663607285004,101.72258693936811,0,0.0,0,0.0,0.6070245667409595,101.81364062437926,1,3.1257858276367188
S2,ABC,21,1,3,102.18596771732386,100.55486343920865,0,0.0,0,0.0,0.8155521390576068,100.67719626006729,1,3.869584321975708
S2,ABC,22,1,3,103.17779724486859,101.13588038591197,0,0.0,0,0.0,1.0209584294783043,101.28902415033372,1,3.4806418418884277
S2,ABC,23,1,3,103.59900950174554,101.94378197822886,0,0.0,0,0.0,0.82761376175834,102.0679240424926,1,3.123744249343872
S2,ABC,24,1,3,104.37961368979087,102.34578895961877,0,0.0,0,0.0,1.0169123650860514,102.49832581438169,1,3.1024649143218994
S2,ABC,25,1,3,104.30548155942293,101.88619768987789,0,0.0,0,0.0,1.2096419347725225,102.06764398009376,1,4.275658369064331
S2,ABC,26,1,3,105.93916346306756,104.69701306811601,0,0.0,0,0.0,0.6210751974757739,104.79017434773738,1,3.1329410076141357
S2,ABC,27,1,3,103.89987226301615,101.8908094099521,0,0.0,0,0.0,1.004531426532029,102.0414891239319,1,3.0918216705322266
S2,ABC,28,1,3,103.23249715044591,101.59266919250548,0,0.0,0,0.0,0.819913978970211,101.71565628935102,1,3.094306468963623
S2,ABC,29,1,3,105.23801647977194,102.94121888149215,0,0.0,0,0.0,1.1483987991398992,103.11347870136314,1,4.319497108459473
S2,ABC,30,1,3,103.35268840832505,101.44003288258047,0,0.0,0,0.0,0.9563277628722903,101.58348204701132,1,3.0992038249969482
S3,PSO,1,3,1,368.9991442110159,361.2985923137048,0,0.0,0,0.0,3.8502759486555727,361.8761337060031,1,9.285542011260986
S3,PSO,2,3,1,346.2826934969458,340.63914693127475,0,0.0,0,0.0,2.821773282835511,341.0624129237001,1,8.12566876411438
S3,PSO,3,3,1,343.3168768504279,338.47686771944325,0,0.0,0,0.0,2.4200045654923263,338.8398684042671,1,9.27786111831665
S3,PSO,4,3,1,343.64336882625935,338.76557708115956,0,0.0,0,0.0,2.4388958725498955,339.131411462042,1,9.250918626785278
S3,PSO,5,3,1,381.7028664381365,373.2591793180204,0,0.0,0,0.0,4.221843560058037,373.8924558520291,1,8.550400018692017
S3,PSO,6,3,1,343.916595614047,339.0066957586213,0,0.0,0,0.0,2.4549499277128777,339.37493824777823,1,8.702109336853027
S3,PSO,7,3,1,343.88336853634473,338.9829207315089,0,0.0,0,0.0,2.450223902417906,339.3504543168716,1,9.369166135787964
S3,PSO,8,3,1,344.57583167163904,339.2484650242536,0,0.0,0,0.0,2.663683323692699,339.64801752280755,1,9.328292846679688
S3,PSO,9,3,1,336.2715344281914,331.9146295439451,0,0.0,0,0.0,2.1784524421231226,332.2413974102636,1,8.153602600097656
S3,PSO,10,3,1,407.79828583638755,396.12722400706036,0,0.0,0,0.0,5.8355309146636065,397.0025536442599,1,9.243862628936768
S3,PSO,11,3,1,366.5466548938297,359.28813212386854,0,0.0,0,0.0,3.6292613849805817,359.8325213316156,1,9.243655920028687
S3,PSO,12,3,1,343.4052923176951,338.5552336273906,0,0.0,0,0.0,2.425029345152262,338.9189880291634,1,8.339022636413574
S3,PSO,13,3,1,343.3356217656782,338.4930709501976,0,0.0,0,0.0,2.421275407740296,338.8562622613586,1,9.018723487854004
S3,PSO,14,3,1,345.9481002318614,340.5581436657319,0,0.0,0,0.0,2.6949782830647635,340.9623904081916,1,9.30833625793457
S3,PSO,15,3,1,340.1942836849788,335.3530280169939,0,0.0,0,0.0,2.4206278339924534,335.71612219209277,1,9.265820264816284
S3,PSO,16,3,1,337.4802376488546,333.00431028197886,0,0.0,0,0.0,2.237963683437857,333.34000483449455,1,8.093968152999878
S3,PSO,17,3,1,360.9921510031547,352.84363628324274,0,0.0,0,0.0,4.074257359955972,353.4547748872361,1,9.295831680297852
S3,PSO,18,3,1,391.8542792582255,382.71025334194906,0,0.0,0,0.0,4.572012958138223,383.3960552856698,1,9.28807806968689
S3,PSO,19,3,1,391.19034441880007,382.1238794348224,0,0.0,0,0.0,4.533232491988835,382.80386430862075,1,8.10044002532959
S3,PSO,20,3,1,343.5613943931053,338.6948195528013,0,0.0,0,0.0,2.433287420151998,339.0598126658241,1,9.266139030456543
S3,PSO,21,3,1,399.4238743349584,388.3402312077089,0,0.0,0,0.0,5.541821563624756,389.17150444225257,1,9.279031038284302
S3,PSO,22,3,1,370.39461499135206,361.96750604228293,0,0.0,0,0.0,4.213554474534564,362.5995392134631,1,9.048052072525024
S3,PSO,23,3,1,334.7477521805656,330.67313951306966,0,0.0,0,0.0,2.0373063337479786,330.97873546313184,1,8.242326021194458
S3,PSO,24,3,1,340.98516391310284,335.92401020263384,0,0.0,0,0.0,2.530576855234487,336.303596730919,1,9.281659841537476
S3,PSO,25,3,1,343.5025432115914,338.6400180664434,0,0.0,0,0.0,2.4312625725739854,339.0047074523295,1,9.296744346618652
S3,PSO,26,3,1,371.18763228325645,363.08350987470004,0,0.0,0,0.0,4.052061204278214,363.69131905534175,1,8.12148642539978
S3,PSO,27,3,1,365.1147124171877,357.2587670647329,0,0.0,0,0.0,3.927972676227385,357.847962966167,1,9.327181577682495
S3,PSO,28,3,1,350.5161450571335,344.8360754837346,0,0.0,0,0.0,2.8400347866994338,345.2620807017395,1,9.259636402130127
S3,PSO,29,3,1,406.8037693713476,396.74042606876094,0,0.0,0,0.0,5.031671651293328,397.49517681645494,1,8.733547687530518
S3,PSO,30,3,1,344.0242960602543,339.11254415350595,0,0.0,0,0.0,2.4558759533741825,339.4809255465121,1,8.559151887893677
S3,ABC,1,3,1,370.43578123821027,362.73243939653145,0,0.0,0,0.0,3.8516709208394,363.31019003465735,1,19.124340057373047
S3,ABC,2,3,1,382.08936723047145,372.52422691173854,0,0.0,0,0.0,4.78257015936647,373.2416124356435,1,18.011502981185913
S3,ABC,3,3,1,370.75739800270173,362.6343752182376,0,0.0,0,0.0,4.06151139223205,363.2436019270724,1,19.058008670806885
S3,ABC,4,3,1,374.4705267370894,366.16601573132687,0,0.0,0,0.0,4.152255502881273,366.7888540567591,1,17.81668257713318
S3,ABC,5,3,1,373.0590615393846,365.07213578400854,0,0.0,0,0.0,3.993462877688011,365.6711552156617,1,18.53497004508972
S3,ABC,6,3,1,376.0457817335708,367.71388186491237,0,0.0,0,0.0,4.165949934329204,368.33877435506173,1,18.55756711959839
S3,ABC,7,3,1,372.4352704741277,364.061080946936,0,0.0,0,0.0,4.187094763595866,364.6891451614754,1,17.98184370994568
S3,ABC,8,3,1,370.4733464287053,362.5525803804376,0,0.0,0,0.0,3.960383024133873,363.14663783405763,1,19.147937059402466
S3,ABC,9,3,1,363.3654033732977,356.3071563038586,0,0.0,0,0.0,3.5291235347195413,356.83652483406655,1,18.04040217399597
S3,ABC,10,3,1,367.90388168730334,360.44163700842273,0,0.0,0,0.0,3.731122339440306,361.0013053593388,1,19.091533422470093
S3,ABC,11,3,1,377.33344481221013,368.29098160110794,0,0.0,0,0.0,4.521231605551103,368.9691663419406,1,17.972517490386963
S3,ABC,12,3,1,364.75406578495097,357.39877023379915,0,0.0,0,0.0,3.6776477755759047,357.95041740013556,1,19.04442572593689
S3,ABC,13,3,1,357.9912941875282,351.34225569033583,0,0.0,0,0.0,3.324519248596178,351.84093357762526,1,17.821731567382812
S3,ABC,14,3,1,373.68525540709857,365.2618805030418,0,0.0,0,0.0,4.2116874520283805,365.89363362084606,1,19.06693124771118
S3,ABC,15,3,1,375.41612451697006,366.75288565117546,0,0.0,0,0.0,4.331619432897291,367.4026285661101,1,18.045769691467285
S3,ABC,16,3,1,372.2083742282812,363.7858435111817,0,0.0,0,0.0,4.211265358549715,364.4175333149642,1,19.12936043739319
S3,ABC,17,3,1,385.3967569337593,375.8778803863497,0,0.0,0,0.0,4.759438273704816,376.5917961274054,1,17.877467155456543
S3,ABC,18,3,1,370.57661216187364,362.8868664619982,0,0.0,0,0.0,3.8448728499377323,363.4635973894888,1,18.249704599380493
S3,ABC,19,3,1,363.63977654967994,356.47074368155194,0,0.0,0,0.0,3.584516434063991,357.00842114666153,1,18.672448873519897
